RegionCode	Region
LO	London
YO	Yorkshire
WA	Wales
NE	Northeast
NW	Northwest
SE	Southeast
SW	Southwest
EA	Eastern
MI	Midlands
SC	Scotland
IR	Ireland
EM	East Midlands
